Month,Channel,Minutes Streamed,HOV
2025-10,Confess by Nosey,22179619.24,369660.32066666667
2025-10,Judge Nosey,18626134.71,310435.5785
2025-10,Nosey,23814719.35,396911.9891666667
2025-10,Presented by Nosey,21596274.94,359937.9156666667
2025-11,Confess by Nosey,19447963.05,324132.7175
2025-11,Judge Nosey,17732302.25,295538.37083333335
2025-11,Nosey,30475302.82,507921.71366666665
2025-11,Presented by Nosey,22449923.19,374165.3865
2025-12,Confess by Nosey,14543542.53,242392.3755
2025-12,Judge Nosey,14645459.95,244090.99916666665
2025-12,Nosey,27724090.89,462068.1815
2025-12,Presented by Nosey,16127598.41,268793.30683333334
