"Date","Channel Id","Channel Name","Territory","Minutes Streamed","Unique Streams","Consumption Type"
"2025-12-01","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","474795.03","16595","AdSupportedLinear"
"2025-12-01","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","453364.34","12967","AdSupportedLinear"
"2025-12-01","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","481313.81","12438","AdSupportedLinear"
"2025-12-01","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","202949.78","6009","AdSupportedLinear"
"2025-12-01","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","137546.31","4566","AdSupportedLinear"
"2025-12-02","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","831115.94","19385","AdSupportedLinear"
"2025-12-02","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","531398.19","14071","AdSupportedLinear"
"2025-12-02","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","568270.19","14318","AdSupportedLinear"
"2025-12-02","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Karamo presented by Nosey","US","472871.44","15440","AdSupportedLinear"
"2025-12-02","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","160050.00","4467","AdSupportedLinear"
"2025-12-03","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","904332.31","19940","AdSupportedLinear"
"2025-12-03","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","529015.81","13858","AdSupportedLinear"
"2025-12-03","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","580296.62","13769","AdSupportedLinear"
"2025-12-03","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Karamo presented by Nosey","US","277365.97","10482","AdSupportedLinear"
"2025-12-03","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","164404.45","4400","AdSupportedLinear"
"2025-12-04","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","902036.44","19866","AdSupportedLinear"
