"Date","Channel Id","Channel Name","Territory","Minutes Streamed","Unique Streams","Consumption Type"
"2025-11-01","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","708157.88","19805","AdSupportedLinear"
"2025-11-01","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","634077.31","13895","AdSupportedLinear"
"2025-11-01","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","456637.41","11215","AdSupportedLinear"
"2025-11-01","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","203958.33","4416","AdSupportedLinear"
"2025-11-01","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","159180.58","5251","AdSupportedLinear"
"2025-11-02","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","476986.88","16675","AdSupportedLinear"
"2025-11-02","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","626072.06","14939","AdSupportedLinear"
"2025-11-02","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","407603.84","11274","AdSupportedLinear"
"2025-11-02","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","620949.31","15034","AdSupportedLinear"
"2025-11-02","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","159676.03","4951","AdSupportedLinear"
"2025-11-03","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","513087.66","15647","AdSupportedLinear"
"2025-11-03","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","697049.88","14238","AdSupportedLinear"
"2025-11-03","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","653181.69","13135","AdSupportedLinear"
"2025-11-03","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","661012.25","15172","AdSupportedLinear"
"2025-11-03","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","187822.25","4542","AdSupportedLinear"
"2025-11-04","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1024708.00","18899","AdSupportedLinear"
"2025-11-04","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","610844.56","13546","AdSupportedLinear"
"2025-11-04","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","684961.38","14146","AdSupportedLinear"
"2025-11-04","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","628453.06","14510","AdSupportedLinear"
"2025-11-04","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","207430.69","4695","AdSupportedLinear"
"2025-11-05","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1112913.75","19806","AdSupportedLinear"
"2025-11-05","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","593643.94","13310","AdSupportedLinear"
"2025-11-05","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","692082.31","13648","AdSupportedLinear"
"2025-11-05","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","629912.75","14727","AdSupportedLinear"
"2025-11-05","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","208665.27","4464","AdSupportedLinear"
"2025-11-06","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","965629.69","20230","AdSupportedLinear"
"2025-11-06","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","647979.06","13467","AdSupportedLinear"
"2025-11-06","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","733674.81","14223","AdSupportedLinear"
"2025-11-06","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","706367.75","15488","AdSupportedLinear"
"2025-11-06","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","217325.14","4777","AdSupportedLinear"
"2025-11-07","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","836375.81","19072","AdSupportedLinear"
"2025-11-07","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","768396.69","14440","AdSupportedLinear"
"2025-11-07","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","435830.78","9535","AdSupportedLinear"
"2025-11-07","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","806045.19","16750","AdSupportedLinear"
"2025-11-07","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","191780.09","4751","AdSupportedLinear"
"2025-11-08","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","765995.56","20716","AdSupportedLinear"
"2025-11-08","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","697817.62","14850","AdSupportedLinear"
"2025-11-08","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","524996.75","12871","AdSupportedLinear"
"2025-11-08","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","671310.06","16012","AdSupportedLinear"
"2025-11-08","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","195229.28","5126","AdSupportedLinear"
"2025-11-09","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","544128.00","18736","AdSupportedLinear"
"2025-11-09","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","674881.88","15307","AdSupportedLinear"
"2025-11-09","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","446105.03","12599","AdSupportedLinear"
"2025-11-09","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","737427.81","16704","AdSupportedLinear"
"2025-11-09","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","168772.77","5042","AdSupportedLinear"
"2025-11-10","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","604613.69","16953","AdSupportedLinear"
"2025-11-10","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","629857.94","14795","AdSupportedLinear"
"2025-11-10","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","717564.75","14358","AdSupportedLinear"
"2025-11-10","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","828248.69","17418","AdSupportedLinear"
"2025-11-10","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","182799.75","4668","AdSupportedLinear"
"2025-11-11","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1113288.25","21048","AdSupportedLinear"
"2025-11-11","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","606945.88","14533","AdSupportedLinear"
"2025-11-11","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","682161.44","15189","AdSupportedLinear"
"2025-11-11","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","714915.06","16871","AdSupportedLinear"
"2025-11-11","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","221426.70","4866","AdSupportedLinear"
"2025-11-12","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1109063.50","19911","AdSupportedLinear"
"2025-11-12","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","612234.62","13769","AdSupportedLinear"
"2025-11-12","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","736206.62","14162","AdSupportedLinear"
"2025-11-12","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","750671.56","16941","AdSupportedLinear"
"2025-11-12","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","226770.14","4843","AdSupportedLinear"
"2025-11-13","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1047894.94","21321","AdSupportedLinear"
"2025-11-13","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","656133.31","13689","AdSupportedLinear"
"2025-11-13","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","706661.88","14748","AdSupportedLinear"
"2025-11-13","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","790469.19","16964","AdSupportedLinear"
"2025-11-13","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","206969.70","4640","AdSupportedLinear"
"2025-11-14","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","898442.88","20001","AdSupportedLinear"
"2025-11-14","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","779167.38","14613","AdSupportedLinear"
"2025-11-14","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","451917.97","9652","AdSupportedLinear"
"2025-11-14","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","931170.06","17358","AdSupportedLinear"
"2025-11-14","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","189562.31","5014","AdSupportedLinear"
"2025-11-15","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","774422.75","20240","AdSupportedLinear"
"2025-11-15","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","700956.25","13985","AdSupportedLinear"
"2025-11-15","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","496213.94","11280","AdSupportedLinear"
"2025-11-15","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","801395.69","16815","AdSupportedLinear"
"2025-11-15","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","184892.28","5446","AdSupportedLinear"
"2025-11-16","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","517284.47","18147","AdSupportedLinear"
