"Date","Channel Id","Channel Name","Territory","Minutes Streamed","Unique Streams","Consumption Type"
"2025-10-01","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","645187.69","13799","AdSupportedLinear"
"2025-10-01","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","764517.25","16453","AdSupportedLinear"
"2025-10-01","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","761445.06","14237","AdSupportedLinear"
"2025-10-01","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Steve Wilkos presented by Nosey","US","226656.94","4537","AdSupportedLinear"
"2025-10-01","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","173965.45","3391","AdSupportedLinear"
"2025-10-02","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","669082.81","14753","AdSupportedLinear"
"2025-10-02","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","685347.00","14664","AdSupportedLinear"
"2025-10-02","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","815169.62","14890","AdSupportedLinear"
"2025-10-02","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","729457.56","15628","AdSupportedLinear"
"2025-10-02","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","150597.31","3370","AdSupportedLinear"
"2025-10-03","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","684425.06","15613","AdSupportedLinear"
"2025-10-03","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","712083.62","13484","AdSupportedLinear"
"2025-10-03","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","431315.69","9245","AdSupportedLinear"
"2025-10-03","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","794115.62","15779","AdSupportedLinear"
"2025-10-03","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","158629.08","3406","AdSupportedLinear"
"2025-10-04","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","636655.69","16178","AdSupportedLinear"
"2025-10-04","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","705022.94","15059","AdSupportedLinear"
"2025-10-04","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","531035.62","11792","AdSupportedLinear"
"2025-10-04","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","730147.38","15686","AdSupportedLinear"
"2025-10-04","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","134389.69","3351","AdSupportedLinear"
"2025-10-05","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","375958.94","14219","AdSupportedLinear"
"2025-10-05","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","668900.00","16359","AdSupportedLinear"
"2025-10-05","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","456148.56","12217","AdSupportedLinear"
"2025-10-05","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","694814.56","16072","AdSupportedLinear"
"2025-10-05","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","99310.67","2911","AdSupportedLinear"
"2025-10-06","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","444336.03","12662","AdSupportedLinear"
"2025-10-06","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","761128.75","16104","AdSupportedLinear"
"2025-10-06","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","634259.44","13354","AdSupportedLinear"
"2025-10-06","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","795852.94","16837","AdSupportedLinear"
"2025-10-06","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","113196.38","2944","AdSupportedLinear"
"2025-10-07","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","537258.62","12473","AdSupportedLinear"
"2025-10-07","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","859592.62","17074","AdSupportedLinear"
"2025-10-07","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","664786.44","14028","AdSupportedLinear"
"2025-10-07","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","738676.94","15796","AdSupportedLinear"
"2025-10-07","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","149533.66","3185","AdSupportedLinear"
"2025-10-08","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","601856.25","13050","AdSupportedLinear"
"2025-10-08","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","662987.25","16448","AdSupportedLinear"
"2025-10-08","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","667370.38","14258","AdSupportedLinear"
"2025-10-08","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","718830.00","15693","AdSupportedLinear"
"2025-10-08","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","148900.14","3235","AdSupportedLinear"
"2025-10-09","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","612800.88","13961","AdSupportedLinear"
"2025-10-09","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","642613.69","14598","AdSupportedLinear"
"2025-10-09","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","723275.94","14273","AdSupportedLinear"
"2025-10-09","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","766497.19","15988","AdSupportedLinear"
"2025-10-09","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","146340.39","3594","AdSupportedLinear"
"2025-10-10","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","679164.25","15620","AdSupportedLinear"
"2025-10-10","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","712027.56","13818","AdSupportedLinear"
"2025-10-10","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","462752.69","9738","AdSupportedLinear"
