channel,title,play_count,total_Time_Watched,asset_duration,avg_play_time,asset_id,,Percentage,VOD Revenue
Nosey,The Jerry Springer Show - Season - 5 - Episode - 79,4505,1174:47:24,0:37:44,0:15:39,JS-0101,"1,174.79",4.21%,$48.19
Nosey,The People's Court - Season - 19 - Episode - 17,2077,936:19:27,0:42:11,0:27:03,PE-2317,936.32,3.36%,$38.41
Nosey,The People's Court - Season - 19 - Episode - 1,2873,914:33:10,0:40:58,0:19:06,PE-2301,914.55,3.28%,$37.52
Nosey,The Jerry Springer Show - Season - 6 - Episode - 46,1789,874:39:55,0:40:42,0:29:20,JS-0113,874.67,3.13%,$35.88
Nosey,The People's Court - Season - 19 - Episode - 2,1404,712:54:00,0:40:51,0:30:28,PE-2302,712.9,2.55%,$29.25
Nosey,The Jerry Springer Show - Season - 7 - Episode - 5,1373,688:57:43,0:40:06,0:30:06,JS-0122,688.96,2.47%,$28.26
Nosey,The Jerry Springer Show - Season - 7 - Episode - 21,1124,594:12:01,0:40:43,0:31:43,JS-0123,594.2,2.13%,$24.38
Nosey,The People's Court - Season - 19 - Episode - 8,1133,591:31:05,0:40:52,0:31:19,PE-2308,591.52,2.12%,$24.27
Nosey,The Jerry Springer Show - Season - 7 - Episode - 62,982,518:01:36,0:40:32,0:31:39,JS-1706,518.03,1.86%,$21.25
Nosey,The People's Court - Season - 19 - Episode - 9,906,496:29:11,0:40:36,0:32:53,PE-2309,496.49,1.78%,$20.37
Nosey,The People's Court - Season - 21 - Episode - 6,1470,461:30:21,0:42:12,0:18:50,PE-2306,461.51,1.65%,$18.93
Nosey,The People's Court - Season - 19 - Episode - 10,868,451:53:05,0:40:40,0:31:14,PE-2310,451.88,1.62%,$18.54
Nosey,The People's Court - Season - 21 - Episode - 3,908,451:17:21,0:42:08,0:29:49,PE-2303,451.29,1.62%,$18.51
Nosey,The People's Court - Season - 19 - Episode - 18,859,440:02:58,0:40:42,0:30:44,PE-2318,440.05,1.58%,$18.05
Nosey,The People's Court - Season - 19 - Episode - 11,765,421:50:37,0:41:01,0:33:05,PE-2311,421.84,1.51%,$17.31
Nosey,The People's Court - Season - 19 - Episode - 19,741,409:40:57,0:41:15,0:33:10,PE-2319,409.68,1.47%,$16.81
Nosey,The Jerry Springer Show - Season - 7 - Episode - 66,818,406:08:54,0:40:15,0:29:47,JS-0127,406.15,1.46%,$16.66
