CONTENT TYPE,PROGRAM NAME,CONTENT NAME,SEASON NUMBER,PARTNER ID,IMPRESSIONS,ESTIMATED PARTNER EARNINGS,eCPM
SERIES,Karamo,S01:E01 - Unlocking My Phone; but You Have a Mistress,1,KA-0606,281249,1483.1628282500021,5.273486583952306
SERIES,Maury,S11:E32 - 2 Moms. 3 Babies. Is One Man the Dad?,11,MS-1132,255987,1309.2528035999994,5.114528486212189
SERIES,Maury,S11:E33 - Torn Apart. Where Are They Now?,11,MS-1133,178008,869.0788543500007,4.882246047087776
SERIES,Karamo,S01:E02 - Plus Size Model Confronts Her Online Troll,1,KA-0604,170804,847.0044827000005,4.958926504648606
SERIES,Maury,S11:E36 - Did My Daughter Sleep With My Man?,11,MS-1136,152960,731.1114273499999,4.779755670436715
SERIES,Karamo,S01:E03 - I'll Unlock My Phone to Prove My Innocence,1,KA-0603,149872,724.9395696999995,4.837058087568055
SERIES,Maury,S11:E37 - 10 Moms. 12 Kids. Who’s the Dad? (Pt. 1),11,MS-1137,131108,621.4611715000004,4.740070563962538
SERIES,The Steve Wilkos Show,"S02:E11 - Mom, Meet Your 8-Year-Old Son",2,SW-1769,119402,614.7350331000001,5.1484483769116105
SERIES,Karamo,S01:E04 - Mom and Daughter in Distress,1,KA-0607,115624,557.8804753500001,4.8249539485746915
SERIES,Karamo,S01:E05 - My Child's Father Won't Accept My Transition,1,KA-0602,113996,548.8643341000004,4.814768361170572
SERIES,The Jerry Springer Show,S12:E31 - I Want Your Lover!,12,JS-1856,112239,555.7065510500007,4.951100339899685
SERIES,Maury,S11:E38 - 10 Moms. 12 Kids. Who’s the Dad? (Pt. 2),11,MS-1138,107529,507.0722047499996,4.715678605306472
SERIES,Karamo,S01:E07 - Teens in Trouble,1,KA-0608,102053,490.9395549499997,4.8106332489000785
SERIES,Maury,S11:E39 - 1 Woman … 5 Kids … 15 Men Tested,11,MS-1139,100726,471.2056200499997,4.678093243551811
SERIES,The Steve Wilkos Show,S02:E41 - I’m 14 and I Want a Baby,2,SW-1792,93110,451.37728499999974,4.847785254000642
SERIES,The Jerry Springer Show,S07:E16 - Wife Discovers Husband's Secret Family,7,JS-0123,91267,453.18105639999936,4.965442672597975
SERIES,Maury,S11:E41 - Our 3 Kids May Not Be Yours!,11,MS-1141,85578,399.32891625,4.666256704410012
SERIES,Karamo,S01:E09 - Internet Rejects Our Open Adoption!,1,KA-0612,81461,386.1220344500003,4.739961876849048
SERIES,The Jerry Springer Show,"S07:E35 - Honey, I'm Really a Guy",7,JS-0125,80854,384.5429554499996,4.756016467336181
SERIES,Karamo,S01:E10 - Show Me the Proof!,1,KA-0609,73119,348.7451255499999,4.76955545822563
SERIES,The Steve Wilkos Show,S02:E67 - I Have Two Husbands,2,SW-1702,72845,346.2822845499994,4.7536863827304465
SERIES,Maury,S11:E80 - Family and Babysitter Secrets Revealed,11,MS-1180,72207,334.98844420000006,4.639279352417357
