,,,,,Date Dim,01-10-2025,01-10-2025,01-10-2025,01-10-2025,02-10-2025,02-10-2025,02-10-2025,02-10-2025,03-10-2025,03-10-2025,03-10-2025,03-10-2025,04-10-2025,04-10-2025,04-10-2025,04-10-2025,05-10-2025,05-10-2025,05-10-2025,05-10-2025,06-10-2025,06-10-2025,06-10-2025,06-10-2025,07-10-2025,07-10-2025,07-10-2025,07-10-2025,08-10-2025,08-10-2025,08-10-2025,08-10-2025,09-10-2025,09-10-2025,09-10-2025,09-10-2025,10-10-2025,10-10-2025,10-10-2025,10-10-2025,11-10-2025,11-10-2025,11-10-2025,11-10-2025,12-10-2025,12-10-2025,12-10-2025,12-10-2025,13-10-2025,13-10-2025,13-10-2025,13-10-2025,14-10-2025,14-10-2025,14-10-2025,14-10-2025,15-10-2025,15-10-2025,15-10-2025,15-10-2025,16-10-2025,16-10-2025,16-10-2025,16-10-2025,17-10-2025,17-10-2025,17-10-2025,17-10-2025,18-10-2025,18-10-2025,18-10-2025,18-10-2025,19-10-2025,19-10-2025,19-10-2025,19-10-2025,20-10-2025,20-10-2025,20-10-2025,20-10-2025,21-10-2025,21-10-2025,21-10-2025,21-10-2025,22-10-2025,22-10-2025,22-10-2025,22-10-2025,23-10-2025,23-10-2025,23-10-2025,23-10-2025,24-10-2025,24-10-2025,24-10-2025,24-10-2025,25-10-2025,25-10-2025,25-10-2025,25-10-2025,26-10-2025,26-10-2025,26-10-2025,26-10-2025,27-10-2025,27-10-2025,27-10-2025,27-10-2025,28-10-2025,28-10-2025,28-10-2025,28-10-2025,29-10-2025,29-10-2025,29-10-2025,29-10-2025,30-10-2025,30-10-2025,30-10-2025,30-10-2025,31-10-2025,31-10-2025,31-10-2025,31-10-2025,01-11-2025,01-11-2025,01-11-2025,01-11-2025,02-11-2025,02-11-2025,02-11-2025,02-11-2025,03-11-2025,03-11-2025,03-11-2025,03-11-2025,04-11-2025,04-11-2025,04-11-2025,04-11-2025,05-11-2025,05-11-2025,05-11-2025,05-11-2025,06-11-2025,06-11-2025,06-11-2025,06-11-2025,07-11-2025,07-11-2025,07-11-2025,07-11-2025,08-11-2025,08-11-2025,08-11-2025,08-11-2025,09-11-2025,09-11-2025,09-11-2025,09-11-2025,10-11-2025,10-11-2025,10-11-2025,10-11-2025,11-11-2025,11-11-2025,11-11-2025,11-11-2025,12-11-2025,12-11-2025,12-11-2025,12-11-2025,13-11-2025,13-11-2025,13-11-2025,13-11-2025,14-11-2025,14-11-2025,14-11-2025,14-11-2025,15-11-2025,15-11-2025,15-11-2025,15-11-2025,16-11-2025,16-11-2025,16-11-2025,16-11-2025,17-11-2025,17-11-2025,17-11-2025,17-11-2025,18-11-2025,18-11-2025,18-11-2025,18-11-2025,19-11-2025,19-11-2025,19-11-2025,19-11-2025,20-11-2025,20-11-2025,20-11-2025,20-11-2025,21-11-2025,21-11-2025,21-11-2025,21-11-2025,22-11-2025,22-11-2025,22-11-2025,22-11-2025,23-11-2025,23-11-2025,23-11-2025,23-11-2025,24-11-2025,24-11-2025,24-11-2025,24-11-2025,25-11-2025,25-11-2025,25-11-2025,25-11-2025,26-11-2025,26-11-2025,26-11-2025,26-11-2025,27-11-2025,27-11-2025,27-11-2025,27-11-2025,28-11-2025,28-11-2025,28-11-2025,28-11-2025,29-11-2025,29-11-2025,29-11-2025,29-11-2025,30-11-2025,30-11-2025,30-11-2025,30-11-2025,01-12-2025,01-12-2025,01-12-2025,01-12-2025,02-12-2025,02-12-2025,02-12-2025,02-12-2025,03-12-2025,03-12-2025,03-12-2025,03-12-2025,04-12-2025,04-12-2025,04-12-2025,04-12-2025,05-12-2025,05-12-2025,05-12-2025,05-12-2025,06-12-2025,06-12-2025,06-12-2025,06-12-2025,07-12-2025,07-12-2025,07-12-2025,07-12-2025,08-12-2025,08-12-2025,08-12-2025,08-12-2025,09-12-2025,09-12-2025,09-12-2025,09-12-2025,10-12-2025,10-12-2025,10-12-2025,10-12-2025,11-12-2025,11-12-2025,11-12-2025,11-12-2025,12-12-2025,12-12-2025,12-12-2025,12-12-2025,13-12-2025,13-12-2025,13-12-2025,13-12-2025,14-12-2025,14-12-2025,14-12-2025,14-12-2025,15-12-2025,15-12-2025,15-12-2025,15-12-2025,16-12-2025,16-12-2025,16-12-2025,16-12-2025,17-12-2025,17-12-2025,17-12-2025,17-12-2025,18-12-2025,18-12-2025,18-12-2025,18-12-2025,19-12-2025,19-12-2025,19-12-2025,19-12-2025,20-12-2025,20-12-2025,20-12-2025,20-12-2025,21-12-2025,21-12-2025,21-12-2025,21-12-2025,22-12-2025,22-12-2025,22-12-2025,22-12-2025,23-12-2025,23-12-2025,23-12-2025,23-12-2025,24-12-2025,24-12-2025,24-12-2025,24-12-2025,25-12-2025,25-12-2025,25-12-2025,25-12-2025,26-12-2025,26-12-2025,26-12-2025,26-12-2025,27-12-2025,27-12-2025,27-12-2025,27-12-2025,28-12-2025,28-12-2025,28-12-2025,28-12-2025,29-12-2025,29-12-2025,29-12-2025,29-12-2025,30-12-2025,30-12-2025,30-12-2025,30-12-2025,31-12-2025,31-12-2025,31-12-2025,31-12-2025
,Movie/Series Title,Content Title,Season Number,Episode Number,Provider Source Id,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum,Stream Starts,Play-Through Stream Starts,All Stream Starts,Streaming Hours Sum
1,Maury,3 Teen Moms... 3 Babies... Is One Man The Father? Part 1,10,123,US-70053312-8528965-18720,301,0,301,21.73,,,,,,,,,,,,,,,,,,,,,199,130,329,100.34,,,,,,,,,,,,,,,,,,,,,261,137,398,104.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,38,112,37.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,150,384,114.49,,,,,,,,,,,,,,,,,,,,,,,,,293,154,447,119.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,78,288,66.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Maury,The Lie Detector Reveals Family Sex Secrets,11,10,US-70176059-25999-18720,297,146,443,108.83,,,,,,,,,,,,,,,,,139,97,236,80.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,74,121,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,193,416,145.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,140,371,104.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,76,278,69.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Maury,They're Back With More Secrets ... Shocking Updates!,14,145,US-70053106-300345-18720,286,138,424,101.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,126,416,86.39,,,,,,,,,,,,,,,,,,,,,189,103,292,84.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,133,352,94.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,77,168,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Maury,Three Teen Moms ... Three Babies ... Which Teen Boy Is the Dad?,13,123,US-70176173-298177-18720,271,123,394,99.15,,,,,,,,,169,108,277,78.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Maury,I'll Confess Today ... I Slept With My Wife's Daughter!,13,122,US-70176172-298177-18720,251,132,383,96.51,,,,,,,,,,,,,,,,,68,48,116,44.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,65,198,61.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,137,363,110.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,128,384,95.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Maury,7 Babies ... 6 Men Tested ... Is He the Dad?,12,106,US-70176127-26000-18720,246,123,369,88.02,,,,,,,,,,,,,,,,,108,73,181,59.9,,,,,,,,,,,,,,,,,291,139,430,106.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,165,406,133.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Maury,3 Men Tested…Which One Of Them Is My Baby's Father,15,123,US-34095094-8528966-18720,234,89,323,76.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Maury,"One Cheating Wife, Three Babies, Are These Kids Mine?",11,9,US-70053277-25999-18720,234,112,346,92.02,,,,,,,,,,,,,,,,,213,127,340,106.9,274,160,434,114.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,69,176,50.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,145,391,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Maury,Revenge of the Teen Nerds ... We Are Hot and Sexy Now!,13,98,US-70176444-298177-18720,198,57,255,47.48,,,,,,,,,,,,,259,138,397,93.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,54,131,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,66,146,46.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,125,345,89.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,77,131,54.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,135,417,96.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
