"Date","Channel Id","Channel Name","Territory","Minutes Streamed","Unique Streams","Consumption Type"
"2026-01-01","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","971845.75","23549","AdSupportedLinear"
"2026-01-01","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","398537.91","12616","AdSupportedLinear"
"2026-01-01","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","316058.91","9985","AdSupportedLinear"
"2026-01-01","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","825431.38","17999","AdSupportedLinear"
"2026-01-01","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","200423.22","6464","AdSupportedLinear"
"2026-01-02","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","936961.69","22371","AdSupportedLinear"
"2026-01-02","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","387495.12","10280","AdSupportedLinear"
"2026-01-02","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","298210.44","7989","AdSupportedLinear"
"2026-01-02","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","918181.12","16036","AdSupportedLinear"
"2026-01-02","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","184946.16","6422","AdSupportedLinear"
"2026-01-03","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","842044.69","22512","AdSupportedLinear"
"2026-01-03","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","488440.38","12887","AdSupportedLinear"
